statistic,mean,mean,mean,mean,mean,standard_deviation,standard_deviation,standard_deviation,standard_deviation,standard_deviation
max_buses,1,2,4,8,16,1,2,4,8,16
date,,,,,,,,,,
1971-11-01,34168.84,44452.0,42921.3,36717.12,25459.06,56164.157942973434,82621.3623485266,113838.07083448107,148191.18096217772,195932.71983654832
1971-12-01,34042.94,44411.04,42928.62,37218.64,26172.14,56307.89616444318,82836.24086947765,114305.55425733756,149232.22876439997,197658.6370623539
1972-01-01,33984.9,44376.08,42991.1,37321.26,26569.3,56531.20911758317,83119.12742265569,114775.65458563599,149842.81392162733,198934.3004189923
1972-02-01,33877.86,44305.16,43078.64,37668.32,26841.12,56680.07733097499,83475.826092412,115406.0748370567,150977.73822713475,200299.70138205503
1972-03-01,33705.32,44260.82,43005.32,37897.56,27435.72,56764.253447811214,83700.19581736294,115729.94657945396,151769.7227728151,201752.8227094385
1972-04-01,33626.96,44256.98,43135.18,38128.18,27618.54,56843.734310526386,84016.78581955258,116250.65537295009,152751.7809445849,203004.71787944908
1972-05-01,33552.78,44309.54,43203.84,38136.06,27676.06,57050.7597889952,84411.54664589098,116730.16472230444,153419.21924056346,203861.31651973503
1972-06-01,33461.04,44296.14,43288.82,38476.36,28561.4,57217.3261692431,84714.44653586518,117097.77055768049,154302.892450803,205870.4325245292
1972-07-01,33352.88,44334.12,43250.26,38736.9,28962.48,57391.39107297739,84951.37220441985,117407.0666177644,155135.96868346535,207146.28506131526
1972-08-01,33261.42,44446.16,43544.52,39267.22,29600.02,57517.94509509929,85417.81055526715,118217.88329480303,156259.79460622362,208683.4094868119
1972-09-01,33084.42,44389.86,43454.5,39467.68,30126.22,57653.36661713163,85617.57657044685,118561.36920362711,157128.76596814164,210184.92420716345
1972-10-01,33065.82,44317.42,43499.82,39648.38,30538.74,57909.23072966549,85895.62183565751,118937.20233798736,157902.0857483174,211236.5470166146
1972-11-01,32975.88,44390.12,43609.58,40161.36,31062.32,58047.95898313527,86345.42864555892,119512.9434652078,158958.07711222066,212610.66821990826
1972-12-01,32871.88,44274.94,43625.64,40495.02,31626.52,58157.56912032437,86580.06006767873,119867.64518532896,159775.66504365567,213949.65870429252
